time,alt,setpoint
0,0.000859168948053934,2.5
0.0199999958276749,0.000253623096028832,2.5
0.0399999916553497,0.00105298016923427,2.5
0.0599999874830246,0.436952893481504,2.5
0.0799999833106995,0.802869349267525,2.5
0.0999999791383743,1.13398943673957,2.5
0.119999974966049,1.41458374987924,2.5
0.139999970793724,1.65207463208183,2.5
0.159999966621399,1.84716995299259,2.5
0.179999962449074,2.0048960387517,2.5
0.199999958276749,2.12957723628858,2.5
0.219999954104424,2.2262369588102,2.5
0.239999949932098,2.2995881274723,2.5
0.259999945759773,2.35409469146249,2.5
0.279999941587448,2.39372388242013,2.5
0.299999937415123,2.42191687563187,2.5
0.319999933242798,2.44155177144724,2.5
0.339999929070473,2.45496873441832,2.5
0.359999924898148,2.46401173505706,2.5
0.379999920725822,2.47008996855804,2.5
0.399999916553497,2.47424453468088,2.5
0.419999912381172,2.47721577903968,2.5
0.439999908208847,2.4795064878325,2.5
0.459999904036522,2.48143869387236,2.5
0.479999899864197,2.48320234034446,2.5
0.499999895691872,2.48489528041416,2.5
0.519999891519547,2.48655469769592,2.5
0.539999887347221,2.48818080290843,2.5
0.559999883174896,2.48975464395035,2.5
0.579999879002571,2.49125028859106,2.5
0.599999874830246,2.49264228154317,2.5
0.619999870657921,2.49391009970047,2.5
0.639999866485596,2.49504047168634,2.5
0.659999862313271,2.4960273194761,2.5
0.679999858140945,2.49687142231333,2.5
0.69999985396862,2.49757909651163,2.5
0.719999849796295,2.49816065949922,2.5
0.73999984562397,2.4986292316936,2.5
0.759999841451645,2.49899938456782,2.5
0.77999983727932,2.49928588177171,2.5
0.799999833106995,2.49950300425272,2.5
0.819999828934669,2.49966388493948,2.5
0.839999824762344,2.49978041266921,2.5
0.859999820590019,2.49986269159291,2.5
0.879999816417694,2.49991940518942,2.5
0.899999812245369,2.49995723008193,2.5
0.919999808073044,2.49998185112736,2.5
0.939999803900719,2.49999717575562,2.5
0.959999799728394,2.5000063525174,2.5
0.979999795556068,2.50001155246046,2.5
0.999999791383743,2.50001448611079,2.5
1.01999978721142,2.50001598660322,2.5
1.03999978303909,2.50001685979798,2.5
1.05999977886677,2.50001738106219,2.5
1.07999977469444,2.50001769644874,2.5
1.09999977052212,2.50001797508006,2.5
1.11999976634979,2.50001818694906,2.5
1.13999976217747,2.500018318439,2.5
1.15999975800514,2.50001815314162,2.5
1.17999975383282,2.50001788888306,2.5
1.19999974966049,2.50001735456846,2.5
1.21999974548817,2.50001669236104,2.5
1.23999974131584,2.50001576572492,2.5
1.25999973714352,2.50001468329897,2.5
1.27999973297119,2.50001343609716,2.5
1.29999972879887,2.50001213205994,2.5
1.31999972462654,2.50001085837425,2.5
1.33999972045422,2.50000966296999,2.5
1.35999971628189,2.50000851244216,2.5
1.37999971210957,2.50000753695385,2.5
1.39999970793724,2.50000659379839,2.5
1.41999970376492,2.5000056859145,2.5
1.43999969959259,2.50000495719419,2.5
1.45999969542027,2.50000424570767,2.5
1.47999969124794,2.50000379074537,2.5
1.49999968707561,2.5000034791248,2.5
1.51999968290329,2.50000327525601,2.5
1.53999967873096,2.50000318093207,2.5
1.55999967455864,2.50000342090731,2.5
1.57999967038631,2.50000360502189,2.5
1.59999966621399,2.50000391051128,2.5
1.61999966204166,2.50000424973724,2.5
1.63999965786934,2.50000474657789,2.5
1.65999965369701,2.50000527125979,2.5
1.67999964952469,2.50000580717952,2.5
1.69999964535236,2.50000635677223,2.5
1.71999964118004,2.50000711902169,2.5
1.73999963700771,2.5000077315063,2.5
1.75999963283539,2.50000841454735,2.5
1.77999962866306,2.5000090796548,2.5
1.79999962449074,2.50000986311289,2.5
1.81999962031841,2.50001063335706,2.5
1.83999961614609,2.50001136352756,2.5
1.85999961197376,2.50001215340794,2.5
1.87999960780144,2.50001294313456,2.5
1.89999960362911,2.50001372748571,2.5
1.91999959945679,2.50001442503618,2.5
1.93999959528446,2.50001512186959,2.5
1.95999959111214,2.50001580527358,2.5
1.97999958693981,2.50001649852693,2.5
1.99999958276749,2.50001717530397,2.5
2.01999957859516,2.50001776819427,2.5
2.03999957442284,2.50001835047227,2.5
2.05999957025051,2.50001891479165,2.5
2.07999956607819,2.50001945265721,2.5
2.09999956190586,2.50001991272984,2.5
2.11999955773354,2.50002017575439,2.5
2.13999955356121,2.50002060994085,2.5
2.15999954938889,2.50002101443968,2.5
2.17999954521656,2.50002137593336,2.5
2.19999954104424,2.50002174849023,2.5
2.21999953687191,2.50002196999324,2.5
2.23999953269959,2.50002222798956,2.5
2.25999952852726,2.50002247360526,2.5
2.27999952435493,2.50002267383746,2.5
2.29999952018261,2.5000229138371,2.5
2.31999951601028,2.50002312663713,2.5
2.33999951183796,2.5000232774197,2.5
2.35999950766563,2.50002330334424,2.5
2.37999950349331,2.50002347469055,2.5
2.39999949932098,2.50002347710264,2.5
2.41999949514866,2.50002347142132,2.5
2.43999949097633,2.50002337776272,2.5
2.45999948680401,2.50002325221539,2.5
2.47999948263168,2.50002315788264,2.5
2.49999947845936,2.50002295027635,2.5
2.51999947428703,2.5000226728354,2.5
2.53999947011471,2.50002250164331,2.5
2.55999946594238,2.50002226116008,2.5
2.57999946177006,2.50002216450928,2.5
2.59999945759773,2.50002203556396,2.5
2.61999945342541,2.50002192835332,2.5
2.63999944925308,2.50002174666768,2.5
2.65999944508076,2.50002161692002,2.5
2.67999944090843,2.50002146724761,2.5
2.69999943673611,2.50002132210213,2.5
2.71999943256378,2.50002110845169,2.5
2.73999942839146,2.5000210003189,2.5
2.75999942421913,2.50002086757442,2.5
