Time,Xpos,Ypos,Zpos
0.02,-1.02932873621003E-05,6.21010604637392E-08,1.47760437054027E-05
0.02,-1.02932873621003E-05,6.21010604637392E-08,1.47760437054027E-05
0.02,-1.02932873621003E-05,6.21010604637392E-08,1.47760437054027E-05
0.04,-2.04595262936758E-05,1.49535790247906E-07,4.30488705030574E-05
0.04,-2.04595262936758E-05,1.49535790247906E-07,4.30488705030574E-05
0.04,-2.04595262936758E-05,1.49535790247906E-07,4.30488705030574E-05
0.06,-2.94818582363171E-05,4.11902315721059E-07,7.90086906855367E-05
0.06,-2.94818582363171E-05,4.11902315721059E-07,7.90086906855367E-05
0.06,-2.94818582363171E-05,4.11902315721059E-07,7.90086906855367E-05
0.06,-2.94818582363171E-05,4.11902315721059E-07,7.90086906855367E-05
0.08,-4.03162202156347E-05,-9.88012782770488E-07,0.000132176996990277
0.08,-4.03162202156347E-05,-9.88012782770488E-07,0.000132176996990277
0.08,-4.03162202156347E-05,-9.88012782770488E-07,0.000132176996990277
0.1,-5.4776574614474E-05,-2.28114560500408E-06,0.00106163603176953
0.1,-5.4776574614474E-05,-2.28114560500408E-06,0.00106163603176953
0.1,-5.4776574614474E-05,-2.28114560500408E-06,0.00106163603176953
0.12,-7.33160568074456E-05,-3.42380916993698E-06,0.0033320745213202
0.12,-7.33160568074456E-05,-3.42380916993698E-06,0.0033320745213202
0.12,-7.33160568074456E-05,-3.42380916993698E-06,0.0033320745213202
0.12,-7.33160568074456E-05,-3.42380916993698E-06,0.0033320745213202
0.14,-9.62675205131536E-05,-4.40517271625553E-06,0.00731572864876423
0.14,-9.62675205131536E-05,-4.40517271625553E-06,0.00731572864876423
0.14,-9.62675205131536E-05,-4.40517271625553E-06,0.00731572864876423
0.16,-0.000123881969971676,-5.21251808712051E-06,0.0133104165849123
0.16,-0.000123881969971676,-5.21251808712051E-06,0.0133104165849123
0.16,-0.000123881969971676,-5.21251808712051E-06,0.0133104165849123
0.18,-0.000156280981065488,-5.83224970311891E-06,0.0215548421121102
0.18,-0.000156280981065488,-5.83224970311891E-06,0.0215548421121102
0.18,-0.000156280981065488,-5.83224970311891E-06,0.0215548421121102
0.18,-0.000156280981065488,-5.83224968813931E-06,0.0215548421121199
0.2,-0.000193659138270585,-6.24881380955553E-06,0.0322402253060314
0.2,-0.000193659138270585,-6.24881380955553E-06,0.0322402253060314
0.2,-0.000193659138270585,-6.24881380955553E-06,0.0322402253060314
0.22,-0.00023606351550615,-6.45636974957388E-06,0.0455196865554494
0.22,-0.00023606351550615,-6.45636974957388E-06,0.0455196865554494
0.22,-0.00023606351550615,-6.45636974957388E-06,0.0455196865554494
0.24,-0.000283635406341853,-6.44279650746768E-06,0.0615163221807462
0.24,-0.000283635406341853,-6.44279650746768E-06,0.0615163221807462
0.24,-0.000283635406341853,-6.44279650746768E-06,0.0615163221807462
0.24,-0.00028363540093148,-6.44279653276114E-06,0.0615163221807711
0.26,-0.000336412116886144,-6.19565293846967E-06,0.080328592569871
0.26,-0.000336412116886144,-6.19565293846967E-06,0.080328592569871
0.26,-0.000336412116886144,-6.19565293846967E-06,0.080328592569871
0.28,-0.000394399130372029,-5.72556070019734E-06,0.102035612714714
0.28,-0.000394399130372029,-5.72556070019734E-06,0.102035612714714
0.28,-0.000394399130372029,-5.72556070019734E-06,0.102035612714714
0.3,-0.000457646825386016,-5.00179941571088E-06,0.126701096029404
0.3,-0.000457646825386016,-5.00179941571088E-06,0.126701096029404
0.3,-0.000457646825386016,-5.00179941571088E-06,0.126701096029404
0.32,-0.00052616544674973,-4.02467017592933E-06,0.154376264726834
0.32,-0.00052616544674973,-4.02467017592933E-06,0.154376264726834
0.32,-0.00052616544674973,-4.02467017592933E-06,0.154376264726834
0.32,-0.00052616544674973,-4.02467017592933E-06,0.154376264726834
0.34,-0.000599970826775681,-2.78273070811083E-06,0.185102236200998
0.34,-0.000599970826775681,-2.78273070811083E-06,0.185102236200998
0.34,-0.000599970826775681,-2.78273070811083E-06,0.185102236200998
0.36,-0.000679009266581244,-1.2716392989848E-06,0.218912303558938
0.36,-0.000679009266581244,-1.2716392989848E-06,0.218912303558938
0.36,-0.000679009266581244,-1.2716392989848E-06,0.218912303558938
0.38,-0.000763255514726738,5.17349256085378E-07,0.25583321130698
0.38,-0.000763255514726738,5.17349256085378E-07,0.25583321130698
0.38,-0.000763255514726738,5.17349256085378E-07,0.25583321130698
0.38,-0.000763255514726738,5.17349256085378E-07,0.25583321130698
0.4,-0.000852717324951194,2.59102176449789E-06,0.295886743614315
0.4,-0.000852717324951194,2.59102176449789E-06,0.295886743614315
0.4,-0.000852717324951194,2.59102176449789E-06,0.295886743614315
0.42,-0.000947339757248755,4.95622766475432E-06,0.339090671491853
0.42,-0.000947339757248755,4.95622766475432E-06,0.339090671491853
0.42,-0.000947339757248755,4.95622766475432E-06,0.339090671491853
0.44,-0.0010470733292318,7.62500137247498E-06,0.385459326427961
0.44,-0.0010470733292318,7.62500137247498E-06,0.385459326427961
0.44,-0.0010470733292318,7.62500137247498E-06,0.385459326427961
0.44,-0.0010470733292318,7.62500137247498E-06,0.385459326427961
0.46,-0.00115187466184441,1.06000419461953E-05,0.435004453672349
0.46,-0.00115187466184441,1.06000419461953E-05,0.435004453672349
0.46,-0.00115187466184441,1.06000419461953E-05,0.435004453672349
0.48,-0.00126171212433882,1.3888016462441E-05,0.487735833047444
0.48,-0.00126171212433882,1.3888016462441E-05,0.487735833047444
0.48,-0.00126171212433882,1.3888016462441E-05,0.487735833047444
