Time,Altitude,Downrange
0.4,86.95,0
0.4,86.95,0
0.4,86.95,0
0.4,86.95,0
0.48,86.95,0
0.48,87.09,0
0.48,87.09,0
0.48,87.09,0
0.48,87.09,0
0.48,87.09,0
0.48,87.09,0
0.48,87.09,0
0.48,87.09,0
0.48,87.09,0
0.48,87.09,0
0.48,87.09,0
0.48,87.09,0
0.48,87.23,0
0.48,87.23,0
0.48,87.23,0
0.48,87.23,0
0.48,87.23,0
0.48,87.23,0
0.48,87.23,0
0.48,87.23,0
0.48,87.23,0
0.48,87.23,0
0.48,87.23,0
0.48,87.23,0
0.48,87.39,0
0.48,87.39,0
0.48,87.39,0
0.48,87.39,0
0.48,87.39,0
0.48,87.39,0
0.48,87.39,0
0.48,87.39,0
0.48,87.39,0
0.48,87.39,0
0.48,87.39,0
0.48,87.39,0
0.48,87.55,0
0.48,87.55,0
0.48,87.55,0
0.48,87.55,0
0.48,87.55,0
0.48,87.55,0
0.48,87.55,0
0.48,87.55,0
0.48,87.55,0
0.48,87.55,0
0.48,87.55,0
0.48,87.55,0
0.56,87.71,0
0.56,87.71,0
0.56,87.71,0
0.56,87.71,0
0.56,87.71,0
0.56,87.71,0
0.56,87.71,0
0.56,87.71,0
0.56,87.71,0
0.56,87.71,0
0.56,87.71,0
0.56,87.71,0
0.56,87.71,0
0.56,87.88,0
0.56,87.88,0
0.56,87.88,0
0.56,87.88,0
0.56,87.88,0
0.56,87.88,0
0.56,87.88,0
0.56,87.88,0
0.56,87.88,0
0.56,87.88,0
0.56,87.88,0
0.56,87.88,0
0.56,88.06,0
0.56,88.06,0
0.56,88.06,0
0.56,88.06,0
0.56,88.06,0
0.56,88.06,0
0.56,88.06,0
0.56,88.06,0
0.56,88.06,0
0.56,88.06,0
0.56,88.06,0
0.56,88.06,0
0.56,88.24,0
0.56,88.24,0
0.56,88.24,0
0.56,88.24,0
0.56,88.24,0
0.56,88.24,0
0.56,88.24,0
0.56,88.24,0
0.56,88.24,0
0.56,88.24,0
0.56,88.24,0
0.56,88.24,0
0.64,88.43,0
0.64,88.43,0
0.64,88.43,0
0.64,88.43,0
0.64,88.43,0
0.64,88.43,0
0.64,88.43,0
0.64,88.43,0
0.64,88.43,0
0.64,88.43,0
0.64,88.43,0
0.64,88.43,0
0.64,88.62,0
0.64,88.62,0
0.64,88.62,0
0.64,88.62,0
0.64,88.62,0
0.64,88.62,0
0.64,88.62,0
0.64,88.62,0
0.64,88.62,0
0.64,88.62,0
0.64,88.62,0
0.64,88.62,0
0.64,88.62,0
0.64,88.82,0
0.64,88.82,0
0.64,88.82,0
0.64,88.82,0
0.64,88.82,0
0.64,88.82,0
0.64,88.82,0
0.64,88.82,0
0.64,88.82,0
0.64,88.82,0
0.64,88.82,0
0.64,88.82,0
0.64,89.03,0
0.64,89.03,0
0.64,89.03,0
0.64,89.03,0
0.64,89.03,0
0.64,89.03,0
0.64,89.03,0
0.64,89.03,0
0.64,89.03,0
0.64,89.03,0
0.64,89.03,0
0.64,89.03,0
0.72,89.24,0
0.72,89.24,0
0.72,89.24,0
0.72,89.24,0
0.72,89.24,0
0.72,89.24,0
0.72,89.24,0
0.72,89.24,0
0.72,89.24,0
0.72,89.24,0
0.72,89.24,0
0.72,89.24,0
0.72,89.45,0
0.72,89.45,0
0.72,89.45,0
0.72,89.45,0
0.72,89.45,0
0.72,89.45,0
0.72,89.45,0
0.72,89.45,0
0.72,89.45,0
0.72,89.45,0
0.72,89.45,0
0.72,89.45,0
0.72,89.68,0
0.72,89.68,0
0.72,89.68,0
0.72,89.68,0
0.72,89.68,0
0.72,89.68,0
0.72,89.68,0
0.72,89.68,0
0.72,89.68,0
0.72,89.68,0
0.72,89.68,0
0.72,89.68,0
0.72,89.68,0
0.72,89.91,0
0.72,89.91,0
0.72,89.91,0
0.72,89.91,0
0.72,89.91,0
0.72,89.91,0
0.72,89.91,0
0.72,89.91,0
0.72,89.91,0
0.72,89.91,0
0.72,89.91,0
0.72,89.91,0
0.8,90.14,0
0.8,90.14,0
0.8,90.14,0
0.8,90.14,0
0.8,90.14,0
0.8,90.14,0
0.8,90.14,0
0.8,90.14,0
0.8,90.14,0
0.8,90.14,0
0.8,90.14,0
0.8,90.14,0
0.8,90.38,0
0.8,90.38,0
0.8,90.38,0
0.8,90.38,0
0.8,90.38,0
0.8,90.38,0
0.8,90.38,0
0.8,90.38,0
0.8,90.38,0
0.8,90.38,0
0.8,90.38,0
0.8,90.38,0
0.8,90.63,0
0.8,90.63,0
0.8,90.63,0
0.8,90.63,0
0.8,90.63,0
0.8,90.63,0
0.8,90.63,0
0.8,90.63,0
0.8,90.63,0
0.8,90.63,0
0.8,90.63,0
0.8,90.63,0
0.8,90.88,0
0.8,90.88,0
0.8,90.88,0
0.8,90.88,0
0.8,90.88,0
0.8,90.88,0
0.8,90.88,0
0.8,90.88,0
0.8,90.88,0
0.8,90.88,0
0.8,90.88,0
0.8,90.88,0
0.8,90.88,0
0.88,91.14,0
0.88,91.14,0
0.88,91.14,0
0.88,91.14,0
0.88,91.14,0
0.88,91.14,0
0.88,91.14,0
0.88,91.14,0
0.88,91.14,0
0.88,91.14,0
0.88,91.14,0
0.88,91.14,0
0.88,91.41,0
0.88,91.41,0
0.88,91.41,0
0.88,91.41,0
0.88,91.41,0
0.88,91.41,0
0.88,91.41,0
0.88,91.41,0
0.88,91.41,0
0.88,91.41,0
0.88,91.41,0
0.88,91.41,0
0.88,91.68,0
0.88,91.68,0
0.88,91.68,0
0.88,91.68,0
0.88,91.68,0
0.88,91.68,0
0.88,91.68,0
0.88,91.68,0
0.88,91.68,0
0.88,91.68,0
0.88,91.68,0
0.88,91.68,0
0.88,91.95,0
0.88,91.95,0
0.88,91.95,0
0.88,91.95,0
0.88,91.95,0
0.88,91.95,0
0.88,91.95,0
0.88,91.95,0
0.88,91.95,0
0.88,91.95,0
0.88,91.95,0
0.88,91.95,0
0.96,92.24,0
0.96,92.24,0
0.96,92.24,0
0.96,92.24,0
0.96,92.24,0
0.96,92.24,0
0.96,92.24,0
0.96,92.24,0
0.96,92.24,0
0.96,92.24,0
0.96,92.24,0
0.96,92.24,0
0.96,92.24,0
