Time,Altitude (m),Downrange (m)
69.77,53335.43,21205.45
69.77,53335.43,21205.45
69.77,53335.43,21205.45
69.77,53335.43,21205.45
69.77,53335.43,21205.45
69.77,53335.43,21205.45
69.77,53335.43,21205.45
69.77,53335.43,21205.45
69.77,53335.43,21205.45
69.77,53335.43,21205.45
69.77,53335.43,21205.45
69.77,53335.43,21205.45
69.85,53364.53,21217.67
69.85,53364.53,21217.67
69.85,53364.53,21217.67
69.85,53364.53,21217.67
69.85,53364.53,21217.67
69.85,53364.53,21217.67
69.85,53364.53,21217.67
69.85,53364.53,21217.67
69.85,53364.53,21217.67
69.85,53364.53,21217.67
69.85,53364.53,21217.67
69.85,53364.53,21217.67
69.85,53364.53,21217.67
69.85,53393.62,21229.97
69.85,53393.62,21229.97
69.85,53393.62,21229.97
69.85,53393.62,21229.97
69.85,53393.62,21229.97
69.85,53393.62,21229.97
69.85,53393.62,21229.97
69.85,53393.62,21229.97
69.85,53393.62,21229.97
69.85,53393.62,21229.97
69.85,53393.62,21229.97
69.85,53393.62,21229.97
69.85,53393.62,21229.97
69.85,53422.7,21242.2
69.85,53422.7,21242.2
69.85,53422.7,21242.2
69.85,53422.7,21242.2
69.85,53422.7,21242.2
69.85,53422.7,21242.2
69.85,53422.7,21242.2
69.85,53422.7,21242.2
69.85,53422.7,21242.2
69.85,53422.7,21242.2
69.85,53422.7,21242.2
69.85,53422.7,21242.2
69.85,53422.7,21242.2
69.85,53451.79,21254.42
69.85,53451.79,21254.42
69.85,53451.79,21254.42
69.85,53451.79,21254.42
69.85,53451.79,21254.42
69.85,53451.79,21254.42
69.85,53451.79,21254.42
69.85,53451.79,21254.42
69.85,53451.79,21254.42
69.85,53451.79,21254.42
69.85,53451.79,21254.42
69.85,53451.79,21254.42
69.85,53451.79,21254.42
69.93,53480.87,21266.73
69.93,53480.87,21266.73
69.93,53480.87,21266.73
69.93,53480.87,21266.73
69.93,53480.87,21266.73
69.93,53480.87,21266.73
69.93,53480.87,21266.73
69.93,53480.87,21266.73
69.93,53480.87,21266.73
69.93,53480.87,21266.73
69.93,53480.87,21266.73
69.93,53480.87,21266.73
69.93,53480.87,21266.73
69.93,53509.95,21278.95
69.93,53509.95,21278.95
69.93,53509.95,21278.95
69.93,53509.95,21278.95
69.93,53509.95,21278.95
69.93,53509.95,21278.95
69.93,53509.95,21278.95
69.93,53509.95,21278.95
69.93,53509.95,21278.95
69.93,53509.95,21278.95
69.93,53509.95,21278.95
69.93,53509.95,21278.95
69.93,53509.95,21278.95
69.93,53539.02,21291.17
69.93,53539.02,21291.17
69.93,53539.02,21291.17
69.93,53539.02,21291.17
69.93,53539.02,21291.17
69.93,53539.02,21291.17
69.93,53539.02,21291.17
69.93,53539.02,21291.17
69.93,53539.02,21291.17
69.93,53539.02,21291.17
69.93,53539.02,21291.17
69.93,53539.02,21291.17
69.93,53539.02,21291.17
69.93,53568.1,21303.48
69.93,53568.1,21303.48
69.93,53568.1,21303.48
69.93,53568.1,21303.48
69.93,53568.1,21303.48
69.93,53568.1,21303.48
69.93,53568.1,21303.48
69.93,53568.1,21303.48
69.93,53568.1,21303.48
69.93,53568.1,21303.48
69.93,53568.1,21303.48
69.93,53568.1,21303.48
69.93,53568.1,21303.48
70.01,53597.17,21315.7
70.01,53597.17,21315.7
70.01,53597.17,21315.7
70.01,53597.17,21315.7
70.01,53597.17,21315.7
70.01,53597.17,21315.7
70.01,53597.17,21315.7
70.01,53597.17,21315.7
70.01,53597.17,21315.7
70.01,53597.17,21315.7
70.01,53597.17,21315.7
70.01,53597.17,21315.7
70.01,53597.17,21315.7
70.01,53626.23,21327.93
70.01,53626.23,21327.93
70.01,53626.23,21327.93
70.01,53626.23,21327.93
70.01,53626.23,21327.93
70.01,53626.23,21327.93
70.01,53626.23,21327.93
70.01,53626.23,21327.93
70.01,53626.23,21327.93
70.01,53626.23,21327.93
70.01,53626.23,21327.93
70.01,53626.23,21327.93
70.01,53626.23,21327.93
70.01,53655.3,21340.23
70.01,53655.3,21340.23
70.01,53655.3,21340.23
70.01,53655.3,21340.23
70.01,53655.3,21340.23
70.01,53655.3,21340.23
70.01,53655.3,21340.23
70.01,53655.3,21340.23
70.01,53655.3,21340.23
70.01,53655.3,21340.23
70.01,53655.3,21340.23
70.01,53655.3,21340.23
70.01,53655.3,21340.23
70.01,53684.36,21352.45
70.01,53684.36,21352.45
70.01,53684.36,21352.45
70.01,53684.36,21352.45
70.01,53684.36,21352.45
70.01,53684.36,21352.45
70.01,53684.36,21352.45
70.01,53684.36,21352.45
70.01,53684.36,21352.45
70.01,53684.36,21352.45
70.01,53684.36,21352.45
70.01,53684.36,21352.45
70.09,53684.36,21364.68
70.09,53713.42,21364.68
70.09,53713.42,21364.68
70.09,53713.42,21364.68
70.09,53713.42,21364.68
70.09,53713.42,21364.68
70.09,53713.42,21364.68
70.09,53713.42,21364.68
70.09,53713.42,21364.68
70.09,53713.42,21364.68
70.09,53713.42,21364.68
70.09,53713.42,21364.68
70.09,53713.42,21364.68
70.09,53742.47,21376.9
70.09,53742.47,21376.9
70.09,53742.47,21376.9
70.09,53742.47,21376.9
70.09,53742.47,21376.9
70.09,53742.47,21376.9
70.09,53742.47,21376.9
70.09,53742.47,21376.9
70.09,53742.47,21376.9
70.09,53742.47,21376.9
70.09,53742.47,21376.9
70.09,53742.47,21376.9
70.09,53742.47,21376.9
70.09,53771.53,21389.13
70.09,53771.53,21389.13
70.09,53771.53,21389.13
70.09,53771.53,21389.13
70.09,53771.53,21389.13
70.09,53771.53,21389.13
70.09,53771.53,21389.13
70.09,53771.53,21389.13
70.09,53771.53,21389.13
70.09,53771.53,21389.13
70.09,53771.53,21389.13
70.09,53771.53,21389.13
70.09,53771.53,21389.13
70.09,53800.58,21401.43
70.09,53800.58,21401.43
70.09,53800.58,21401.43
70.09,53800.58,21401.43
70.09,53800.58,21401.43
70.09,53800.58,21401.43
70.09,53800.58,21401.43
70.09,53800.58,21401.43
70.09,53800.58,21401.43
70.09,53800.58,21401.43
70.09,53800.58,21401.43
70.09,53800.58,21401.43
70.09,53800.58,21401.43
70.17,53829.62,21413.65
70.17,53829.62,21413.65
70.17,53829.62,21413.65
70.17,53829.62,21413.65
70.17,53829.62,21413.65
70.17,53829.62,21413.65
70.17,53829.62,21413.65
70.17,53829.62,21413.65
70.17,53829.62,21413.65
70.17,53829.62,21413.65
70.17,53829.62,21413.65
70.17,53829.62,21413.65
70.17,53829.62,21413.65
70.17,53858.67,21425.88
70.17,53858.67,21425.88
70.17,53858.67,21425.88
70.17,53858.67,21425.88
70.17,53858.67,21425.88
70.17,53858.67,21425.88
70.17,53858.67,21425.88
70.17,53858.67,21425.88
70.17,53858.67,21425.88
70.17,53858.67,21425.88
70.17,53858.67,21425.88
70.17,53858.67,21425.88
70.17,53858.67,21425.88
70.17,53887.71,21438.1
70.17,53887.71,21438.1
70.17,53887.71,21438.1
70.17,53887.71,21438.1
70.17,53887.71,21438.1
70.17,53887.71,21438.1
70.17,53887.71,21438.1
70.17,53887.71,21438.1
70.17,53887.71,21438.1
70.17,53887.71,21438.1
70.17,53887.71,21438.1
70.17,53887.71,21438.1
70.17,53887.71,21438.1
70.17,53916.75,21450.32
70.17,53916.75,21450.32
70.17,53916.75,21450.32
70.17,53916.75,21450.32
70.17,53916.75,21450.32
70.17,53916.75,21450.32
70.17,53916.75,21450.32
70.17,53916.75,21450.32
70.17,53916.75,21450.32
70.17,53916.75,21450.32
70.17,53916.75,21450.32
70.17,53916.75,21450.32
70.17,53916.75,21450.32
70.25,53945.78,21462.55
70.25,53945.78,21462.55
70.25,53945.78,21462.55
70.25,53945.78,21462.55
70.25,53945.78,21462.55
70.25,53945.78,21462.55
70.25,53945.78,21462.55
70.25,53945.78,21462.55
70.25,53945.78,21462.55
70.25,53945.78,21462.55
70.25,53945.78,21462.55
70.25,53945.78,21462.55
70.25,53945.78,21462.55
70.25,53974.82,21474.77
70.25,53974.82,21474.77
70.25,53974.82,21474.77
70.25,53974.82,21474.77
70.25,53974.82,21474.77
70.25,53974.82,21474.77
70.25,53974.82,21474.77
70.25,53974.82,21474.77
70.25,53974.82,21474.77
70.25,53974.82,21474.77
70.25,53974.82,21474.77
70.25,53974.82,21474.77
70.25,53974.82,21474.77
70.25,54003.85,21487
70.25,54003.85,21487
70.25,54003.85,21487
70.25,54003.85,21487
70.25,54003.85,21487
70.25,54003.85,21487
70.25,54003.85,21487
70.25,54003.85,21487
70.25,54003.85,21487
70.25,54003.85,21487
70.25,54003.85,21487
70.25,54003.85,21487
70.25,54003.85,21487
70.25,54032.87,21499.22
70.25,54032.87,21499.22
70.25,54032.87,21499.22
70.25,54032.87,21499.22
70.25,54032.87,21499.22
70.25,54032.87,21499.22
70.25,54032.87,21499.22
70.25,54032.87,21499.22
70.25,54032.87,21499.22
70.25,54032.87,21499.22
70.25,54032.87,21499.22
70.25,54032.87,21499.22
70.33,54032.87,21499.22
70.33,54061.9,21511.44
70.33,54061.9,21511.44
70.33,54061.9,21511.44
70.33,54061.9,21511.44
70.33,54061.9,21511.44
70.33,54061.9,21511.44
70.33,54061.9,21511.44
70.33,54061.9,21511.44
70.33,54061.9,21511.44
70.33,54061.9,21511.44
70.33,54061.9,21511.44
70.33,54061.9,21511.44
70.33,54090.92,21523.67
70.33,54090.92,21523.67
70.33,54090.92,21523.67
70.33,54090.92,21523.67
70.33,54090.92,21523.67
70.33,54090.92,21523.67
70.33,54090.92,21523.67
70.33,54090.92,21523.67
70.33,54090.92,21523.67
70.33,54090.92,21523.67
70.33,54090.92,21523.67
70.33,54090.92,21523.67
70.33,54090.92,21523.67
70.33,54119.94,21535.89
70.33,54119.94,21535.89
70.33,54119.94,21535.89
70.33,54119.94,21535.89
70.33,54119.94,21535.89
70.33,54119.94,21535.89
70.33,54119.94,21535.89
70.33,54119.94,21535.89
70.33,54119.94,21535.89
70.33,54119.94,21535.89
70.33,54119.94,21535.89
70.33,54119.94,21535.89
70.33,54119.94,21535.89
70.33,54148.95,21548.12
70.33,54148.95,21548.12
70.33,54148.95,21548.12
70.33,54148.95,21548.12
70.33,54148.95,21548.12
70.33,54148.95,21548.12
70.33,54148.95,21548.12
70.33,54148.95,21548.12
70.33,54148.95,21548.12
70.33,54148.95,21548.12
70.33,54148.95,21548.12
70.33,54148.95,21548.12
70.33,54148.95,21548.12
70.41,54177.97,21560.34
70.41,54177.97,21560.34
70.41,54177.97,21560.34
70.41,54177.97,21560.34
70.41,54177.97,21560.34
70.41,54177.97,21560.34
70.41,54177.97,21560.34
70.41,54177.97,21560.34
70.41,54177.97,21560.34
70.41,54177.97,21560.34
70.41,54177.97,21560.34
70.41,54177.97,21560.34
70.41,54177.97,21560.34
70.41,54206.98,21572.56
70.41,54206.98,21572.56
70.41,54206.98,21572.56
70.41,54206.98,21572.56
70.41,54206.98,21572.56
70.41,54206.98,21572.56
70.41,54206.98,21572.56
70.41,54206.98,21572.56
70.41,54206.98,21572.56
70.41,54206.98,21572.56
70.41,54206.98,21572.56
70.41,54206.98,21572.56
70.41,54206.98,21572.56
70.41,54235.98,21584.79
70.41,54235.98,21584.79
70.41,54235.98,21584.79
70.41,54235.98,21584.79
70.41,54235.98,21584.79
70.41,54235.98,21584.79
70.41,54235.98,21584.79
70.41,54235.98,21584.79
70.41,54235.98,21584.79
70.41,54235.98,21584.79
70.41,54235.98,21584.79
70.41,54235.98,21584.79
70.41,54235.98,21584.79
70.41,54264.99,21597.01
70.41,54264.99,21597.01
70.41,54264.99,21597.01
70.41,54264.99,21597.01
70.41,54264.99,21597.01
70.41,54264.99,21597.01
70.41,54264.99,21597.01
70.41,54264.99,21597.01
70.41,54264.99,21597.01
70.41,54264.99,21597.01
