Time,Signal,Setpoint
0.98,-4.88,-10
0.98,-4.88,-10
0.98,-4.88,-10
0.98,-4.88,-10
1,-5.11,-10
1,-5.11,-10
1,-5.11,-10
1,-5.11,-10
1,-5.11,-10
1.02,-5.34,-10
1.02,-5.34,-10
1.02,-5.34,-10
1.02,-5.34,-10
1.02,-5.34,-10
1.02,-5.34,-10
1.04,-5.57,-10
1.04,-5.57,-10
1.04,-5.57,-10
1.04,-5.57,-10
1.04,-5.57,-10
1.04,-5.57,-10
1.06,-5.8,-10
1.06,-5.8,-10
1.06,-5.8,-10
1.06,-5.8,-10
1.06,-5.8,-10
1.08,-6.03,-10
1.08,-6.03,-10
1.08,-6.03,-10
1.08,-6.03,-10
1.08,-6.03,-10
1.08,-6.03,-10
1.1,-6.25,-10
1.1,-6.25,-10
1.1,-6.25,-10
1.1,-6.25,-10
1.1,-6.25,-10
1.1,-6.25,-10
1.12,-6.47,-10
1.12,-6.47,-10
1.12,-6.47,-10
1.12,-6.47,-10
1.12,-6.47,-10
1.12,-6.47,-10
1.14,-6.69,-10
1.14,-6.69,-10
1.14,-6.69,-10
1.14,-6.69,-10
1.14,-6.69,-10
1.16,-6.9,-10
1.16,-6.9,-10
1.16,-6.9,-10
1.16,-6.9,-10
1.16,-6.9,-10
1.16,-6.9,-10
1.18,-7.11,-10
1.18,-7.11,-10
1.18,-7.11,-10
1.18,-7.11,-10
1.18,-7.11,-10
1.18,-7.11,-10
1.2,-7.32,-10
1.2,-7.32,-10
1.2,-7.32,-10
1.2,-7.32,-10
1.2,-7.32,-10
1.22,-7.53,-10
1.22,-7.53,-10
1.22,-7.53,-10
1.22,-7.53,-10
1.22,-7.53,-10
1.22,-7.53,-10
1.24,-7.73,-10
1.24,-7.73,-10
1.24,-7.73,-10
1.24,-7.73,-10
1.24,-7.73,-10
1.24,-7.73,-10
1.26,-7.93,-10
1.26,-7.93,-10
1.26,-7.93,-10
1.26,-7.93,-10
1.26,-7.93,-10
1.28,-8.13,-10
1.28,-8.13,-10
